,resource,type,resource_attributes,ts,values
327758,5.948095306408936e+17,process,"[root, 191, 2, linux, param-workhorse, kworker/11:1H-events_highpri, , param-workhorse, , ]",1714641786000,"[0.0, 0.001521767008709575, 0.04, 0.0, 0.0, 0.0]"
327759,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, param-workhorse, , root, param-workhorse, linux, , , 191, 2]",1714641791000,"[0.0, 0.0015207909096888017, 0.04, 0.0, 0.0, 0.0]"
327760,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, , 191, 2, , , root, param-workhorse, param-workhorse, linux]",1714641796000,"[0.0, 0.0015198395891437685, 0.04, 0.0, 0.0, 0.0]"
327761,5.948095306408936e+17,process,"[191, 2, root, param-workhorse, , kworker/11:1H-events_highpri, , , linux, param-workhorse]",1714641801000,"[0.0, 0.0015188737585031275, 0.04, 0.0, 0.0, 0.0]"
327762,5.948095306408936e+17,process,"[linux, 2, , param-workhorse, , param-workhorse, root, 191, kworker/11:1H-events_highpri, ]",1714641806000,"[0.0, 0.0015179149435143684, 0.04, 0.0, 0.0, 0.0]"
327763,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, , param-workhorse, linux, param-workhorse, 2, , 191, , root]",1714641811000,"[0.0, 0.001516959049242753, 0.04, 0.0, 0.0, 0.0]"
327764,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, , , 191, root, linux, param-workhorse, , param-workhorse, 2]",1714641816000,"[0.0, 0.0015159982975195396, 0.04, 0.0, 0.0, 0.0]"
327765,5.948095306408936e+17,process,"[191, , , root, param-workhorse, param-workhorse, 2, kworker/11:1H-events_highpri, , linux]",1714641821000,"[0.0, 0.0015150432640098897, 0.04, 0.0, 0.0, 0.0]"
327766,5.948095306408936e+17,process,"[root, 191, kworker/11:1H-kblockd, , param-workhorse, linux, param-workhorse, 2, , ]",1714641826000,"[0.0, 0.0015140857065839095, 0.04, 0.0, 0.0, 0.0]"
327767,5.948095306408936e+17,process,"[linux, , , root, 191, param-workhorse, param-workhorse, 2, , kworker/11:1H-kblockd]",1714641831000,"[0.0, 0.0015131326877369624, 0.04, 0.0, 0.0, 0.0]"
327768,5.948095306408936e+17,process,"[191, kworker/11:1H-events_highpri, linux, param-workhorse, , , param-workhorse, , root, 2]",1714641836000,"[0.0, 0.0015121791605813741, 0.04, 0.0, 0.0, 0.0]"
327769,5.948095306408936e+17,process,"[param-workhorse, linux, 2, , param-workhorse, , root, , kworker/11:1H-events_highpri, 191]",1714641841000,"[0.0, 0.001511224357952917, 0.04, 0.0, 0.0, 0.0]"
327770,5.948095306408936e+17,process,"[linux, , param-workhorse, kworker/11:1H-events_highpri, , root, param-workhorse, 191, , 2]",1714641846000,"[0.0, 0.0015102683896163103, 0.04, 0.0, 0.0, 0.0]"
327771,5.948095306408936e+17,process,"[, , linux, kworker/11:1H-kblockd, param-workhorse, 191, , root, param-workhorse, 2]",1714641851000,"[0.0, 0.00150932441283692, 0.04, 0.0, 0.0, 0.0]"
327772,5.948095306408936e+17,process,"[linux, , , root, kworker/11:1H-events_highpri, 191, 2, , param-workhorse, param-workhorse]",1714641856000,"[0.0, 0.0015083731546790952, 0.04, 0.0, 0.0, 0.0]"
327773,5.948095306408936e+17,process,"[, 191, kworker/11:1H-kblockd, linux, param-workhorse, , , root, param-workhorse, 2]",1714641861000,"[0.0, 0.0015074303808523285, 0.04, 0.0, 0.0, 0.0]"
327774,5.948095306408936e+17,process,"[param-workhorse, 191, kworker/11:1H-events_highpri, , , root, param-workhorse, , linux, 2]",1714641866000,"[0.0, 0.0015064832822221706, 0.04, 0.0, 0.0, 0.0]"
327775,5.948095306408936e+17,process,"[root, param-workhorse, linux, , 191, 2, kworker/11:1H-kblockd, , , param-workhorse]",1714641871000,"[0.0, 0.0015055375385291815, 0.04, 0.0, 0.0, 0.0]"
327776,5.948095306408936e+17,process,"[linux, param-workhorse, kworker/11:1H-kblockd, 2, param-workhorse, 191, , , root, ]",1714641876000,"[0.0, 0.0015045956692799956, 0.04, 0.0, 0.0, 0.0]"
327777,5.948095306408936e+17,process,"[, root, 2, kworker/11:1H-kblockd, , linux, param-workhorse, 191, , param-workhorse]",1714641881000,"[0.0, 0.0015036520128928804, 0.04, 0.0, 0.0, 0.0]"
327778,5.948095306408936e+17,process,"[2, , , 191, , root, param-workhorse, param-workhorse, kworker/11:1H-kblockd, linux]",1714641886000,"[0.0, 0.001502710685499863, 0.04, 0.0, 0.0, 0.0]"
327779,5.948095306408936e+17,process,"[linux, param-workhorse, kworker/11:1H-events_highpri, , root, , , param-workhorse, 191, 2]",1714641891000,"[0.0, 0.0015017112852432884, 0.04, 0.0, 0.0, 0.0]"
327780,5.948095306408936e+17,process,"[, root, , , linux, param-workhorse, 191, param-workhorse, 2, kworker/11:1H-events_highpri]",1714641896000,"[0.0, 0.001500806910402408, 0.04, 0.0, 0.0, 0.0]"
327781,5.948095306408936e+17,process,"[191, linux, kworker/11:1H-events_highpri, param-workhorse, param-workhorse, 2, , , , root]",1714641901000,"[0.0, 0.0014998904557124266, 0.04, 0.0, 0.0, 0.0]"
327782,5.948095306408936e+17,process,"[, 2, root, 191, linux, param-workhorse, kworker/11:1H-events_highpri, , param-workhorse, ]",1714641906000,"[0.0, 0.001498949195277214, 0.04, 0.0, 0.0, 0.0]"
327783,5.948095306408936e+17,process,"[, 2, param-workhorse, param-workhorse, 191, kworker/11:1H-events_highpri, root, , , linux]",1714641911000,"[0.0, 0.0014980149298924755, 0.04, 0.0, 0.0, 0.0]"
327784,5.948095306408936e+17,process,"[, kworker/11:1H-events_highpri, 2, , , param-workhorse, linux, param-workhorse, root, 191]",1714641916000,"[0.0, 0.0014970860980167522, 0.04, 0.0, 0.0, 0.0]"
327785,5.948095306408936e+17,process,"[2, kworker/11:1H-events_highpri, , param-workhorse, 191, , root, param-workhorse, linux, ]",1714641921000,"[0.0, 0.0014961535030322943, 0.04, 0.0, 0.0, 0.0]"
327786,5.948095306408936e+17,process,"[, root, param-workhorse, param-workhorse, kworker/11:1H-events_highpri, , linux, 191, 2, ]",1714641926000,"[0.0, 0.0014952179674578452, 0.04, 0.0, 0.0, 0.0]"
327787,5.948095306408936e+17,process,"[191, linux, param-workhorse, , 2, kworker/11:1H-kblockd, root, param-workhorse, , ]",1714641931000,"[0.0, 0.001494289330939121, 0.04, 0.0, 0.0, 0.0]"
327788,5.948095306408936e+17,process,"[linux, 191, kworker/11:1H-events_highpri, , 2, , , param-workhorse, root, param-workhorse]",1714641936000,"[0.0, 0.00149335885622574, 0.04, 0.0, 0.0, 0.0]"
327789,5.948095306408936e+17,process,"[2, param-workhorse, linux, kworker/11:1H-events_highpri, , , , root, param-workhorse, 191]",1714641941000,"[0.0, 0.00149243084224321, 0.04, 0.0, 0.0, 0.0]"
327790,5.948095306408936e+17,process,"[param-workhorse, root, , , kworker/11:1H-events_highpri, , param-workhorse, linux, 191, 2]",1714641946000,"[0.0, 0.0014914976437004465, 0.04, 0.0, 0.0, 0.0]"
327791,5.948095306408936e+17,process,"[root, param-workhorse, 2, linux, param-workhorse, , , , 191, kworker/11:1H-events_highpri]",1714641951000,"[0.0, 0.0014905756353411253, 0.04, 0.0, 0.0, 0.0]"
327792,5.948095306408936e+17,process,"[param-workhorse, 191, 2, root, linux, kworker/11:1H-events_highpri, param-workhorse, , , ]",1714641956000,"[0.0, 0.0014896450698937784, 0.04, 0.0, 0.0, 0.0]"
327793,5.948095306408936e+17,process,"[, 2, root, , kworker/11:1H-events_highpri, 191, param-workhorse, linux, , param-workhorse]",1714641961000,"[0.0, 0.0014887276480569438, 0.04, 0.0, 0.0, 0.0]"
327794,5.948095306408936e+17,process,"[param-workhorse, linux, param-workhorse, 2, 191, , , kworker/11:1H-events_highpri, root, ]",1714641966000,"[0.0, 0.001487804033509688, 0.04, 0.0, 0.0, 0.0]"
327795,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, root, 2, , param-workhorse, , linux, param-workhorse, 191, ]",1714641971000,"[0.0, 0.0014868811459805415, 0.04, 0.0, 0.0, 0.0]"
327796,5.948095306408936e+17,process,"[191, 2, kworker/11:1H-events_highpri, param-workhorse, , param-workhorse, root, , linux, ]",1714641976000,"[0.0, 0.0014859629265395764, 0.04, 0.0, 0.0, 0.0]"
327797,5.948095306408936e+17,process,"[, param-workhorse, root, 191, 2, kworker/11:1H-events_highpri, param-workhorse, linux, , ]",1714641981000,"[0.0, 0.001485045413237114, 0.04, 0.0, 0.0, 0.0]"
327798,5.948095306408936e+17,process,"[, param-workhorse, 191, 2, , root, , kworker/11:1H-events_highpri, param-workhorse, linux]",1714641986000,"[0.0, 0.0014841248256875783, 0.04, 0.0, 0.0, 0.0]"
327799,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, , root, 2, linux, , param-workhorse, param-workhorse, 191, ]",1714641991000,"[0.0, 0.001483205214562253, 0.04, 0.0, 0.0, 0.0]"
327800,5.948095306408936e+17,process,"[, 191, 2, , kworker/11:1H-events_highpri, param-workhorse, linux, , root, param-workhorse]",1714641996000,"[0.0, 0.0014822923435139, 0.04, 0.0, 0.0, 0.0]"
327801,5.948095306408936e+17,process,"[param-workhorse, linux, 191, kworker/11:1H-events_highpri, , root, 2, , , param-workhorse]",1714642001000,"[0.0, 0.001481378513340408, 0.04, 0.0, 0.0, 0.0]"
327802,5.948095306408936e+17,process,"[191, 2, linux, kworker/11:1H-events_highpri, , param-workhorse, param-workhorse, , , root]",1714642006000,"[0.0, 0.0014804560867146056, 0.04, 0.0, 0.0, 0.0]"
327803,5.948095306408936e+17,process,"[param-workhorse, 191, param-workhorse, linux, , 2, kworker/11:1H-events_highpri, , , root]",1714642011000,"[0.0, 0.0014795495894348058, 0.04, 0.0, 0.0, 0.0]"
327804,5.948095306408936e+17,process,"[param-workhorse, , kworker/11:1H-events_highpri, 2, linux, param-workhorse, , , root, 191]",1714642016000,"[0.0, 0.0014786416223328857, 0.04, 0.0, 0.0, 0.0]"
327805,5.948095306408936e+17,process,"[, root, , linux, param-workhorse, 191, param-workhorse, 2, kworker/11:1H-events_highpri, ]",1714642021000,"[0.0, 0.001600868799835981, 0.043333333333333335, 0.0, 0.0, 0.0]"
327806,5.948095306408936e+17,process,"[param-workhorse, 191, kworker/11:1H-events_highpri, linux, , root, param-workhorse, 2, , ]",1714642026000,"[0.0, 0.0015998884655163052, 0.043333333333333335, 0.0, 0.0, 0.0]"
327807,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, root, linux, 2, , param-workhorse, param-workhorse, 191, , ]",1714642031000,"[0.0, 0.001598904672224175, 0.043333333333333335, 0.0, 0.0, 0.0]"
327808,5.948095306408936e+17,process,"[, kworker/11:1H-events_highpri, root, param-workhorse, 2, , param-workhorse, 191, , linux]",1714642036000,"[0.0, 0.001597922398873541, 0.043333333333333335, 0.0, 0.0, 0.0]"
327809,5.948095306408936e+17,process,"[root, linux, 2, param-workhorse, , param-workhorse, 191, , kworker/11:1H-events_highpri, ]",1714642041000,"[0.0, 0.0015969335178892092, 0.043333333333333335, 0.0, 0.0, 0.0]"
327810,5.948095306408936e+17,process,"[, param-workhorse, 2, kworker/11:1H-events_highpri, param-workhorse, 191, root, linux, , ]",1714642046000,"[0.0, 0.001595959336745366, 0.043333333333333335, 0.0, 0.0, 0.0]"
327811,5.948095306408936e+17,process,"[linux, 191, kworker/11:1H-events_highpri, 2, , root, , , param-workhorse, param-workhorse]",1714642051000,"[0.0, 0.0015949785289269866, 0.043333333333333335, 0.0, 0.0, 0.0]"
327812,5.948095306408936e+17,process,"[, , kworker/11:1H-events_highpri, , 2, linux, 191, param-workhorse, root, param-workhorse]",1714642056000,"[0.0, 0.0015940003636590132, 0.043333333333333335, 0.0, 0.0, 0.0]"
327813,5.948095306408936e+17,process,"[linux, 2, kworker/11:1H-events_highpri, root, param-workhorse, , 191, , , param-workhorse]",1714642061000,"[0.0, 0.001593021478593959, 0.043333333333333335, 0.0, 0.0, 0.0]"
327814,5.948095306408936e+17,process,"[, param-workhorse, param-workhorse, , 191, kworker/11:1H-kblockd, linux, root, 2, ]",1714642066000,"[0.0, 0.0015920506577043743, 0.043333333333333335, 0.0, 0.0, 0.0]"
327815,5.948095306408936e+17,process,"[191, , param-workhorse, linux, 2, kworker/11:1H-kblockd, , param-workhorse, , root]",1714642071000,"[0.0, 0.0015910796142943814, 0.043333333333333335, 0.0, 0.0, 0.0]"
327816,5.948095306408936e+17,process,"[, param-workhorse, 2, kworker/11:1H-kblockd, , root, param-workhorse, linux, 191, ]",1714642076000,"[0.0, 0.0015901057450338758, 0.043333333333333335, 0.0, 0.0, 0.0]"
327817,5.948095306408936e+17,process,"[, linux, , param-workhorse, 2, kworker/11:1H-kblockd, , root, 191, param-workhorse]",1714642081000,"[0.0, 0.001589131709960662, 0.043333333333333335, 0.0, 0.0, 0.0]"
327818,5.948095306408936e+17,process,"[, param-workhorse, 191, root, , param-workhorse, linux, 2, , kworker/11:1H-kblockd]",1714642086000,"[0.0, 0.001588160862621529, 0.043333333333333335, 0.0, 0.0, 0.0]"
327819,5.948095306408936e+17,process,"[linux, 2, , 191, root, param-workhorse, param-workhorse, kworker/11:1H-kblockd, , ]",1714642091000,"[0.0, 0.0015871938805920958, 0.043333333333333335, 0.0, 0.0, 0.0]"
327820,5.948095306408936e+17,process,"[191, , 2, , param-workhorse, linux, kworker/11:1H-kblockd, param-workhorse, , root]",1714642096000,"[0.0, 0.0015862234305974476, 0.043333333333333335, 0.0, 0.0, 0.0]"
327821,5.948095306408936e+17,process,"[linux, kworker/11:1H-kblockd, , , 191, 2, root, param-workhorse, , param-workhorse]",1714642101000,"[0.0, 0.0015852515487808812, 0.043333333333333335, 0.0, 0.0, 0.0]"
327822,5.948095306408936e+17,process,"[, , linux, kworker/11:1H-kblockd, , param-workhorse, param-workhorse, 191, 2, root]",1714642106000,"[0.0, 0.0015842926601351733, 0.043333333333333335, 0.0, 0.0, 0.0]"
327823,5.948095306408936e+17,process,"[2, kworker/11:1H-events_highpri, linux, param-workhorse, 191, root, , , , param-workhorse]",1714642111000,"[0.0, 0.001583325869092718, 0.043333333333333335, 0.0, 0.0, 0.0]"
327824,5.948095306408936e+17,process,"[root, , , linux, 191, 2, kworker/11:1H-events_highpri, param-workhorse, , param-workhorse]",1714642116000,"[0.0, 0.0015823570636892257, 0.043333333333333335, 0.0, 0.0, 0.0]"
327825,5.948095306408936e+17,process,"[param-workhorse, linux, 191, , , root, param-workhorse, kworker/11:1H-events_highpri, , 2]",1714642121000,"[0.0, 0.0015813925166895308, 0.043333333333333335, 0.0, 0.0, 0.0]"
327826,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, , , root, linux, 191, , param-workhorse, param-workhorse, 2]",1714642126000,"[0.0, 0.0015804375442601331, 0.043333333333333335, 0.0, 0.0, 0.0]"
327827,5.948095306408936e+17,process,"[191, 2, , root, param-workhorse, param-workhorse, kworker/11:1H-kblockd, , linux, ]",1714642131000,"[0.0, 0.0015794752842029454, 0.043333333333333335, 0.0, 0.0, 0.0]"
327828,5.948095306408936e+17,process,"[2, , param-workhorse, , , root, param-workhorse, kworker/11:1H-events_highpri, linux, 191]",1714642136000,"[0.0, 0.0015785192577067657, 0.043333333333333335, 0.0, 0.0, 0.0]"
327829,5.948095306408936e+17,process,"[root, param-workhorse, 191, , param-workhorse, 2, , linux, kworker/11:1H-kblockd, ]",1714642141000,"[0.0, 0.0015775558475852986, 0.043333333333333335, 0.0, 0.0, 0.0]"
327830,5.948095306408936e+17,process,"[linux, kworker/11:1H-events_highpri, , param-workhorse, root, 2, , , param-workhorse, 191]",1714642146000,"[0.0, 0.0015765958465316296, 0.043333333333333335, 0.0, 0.0, 0.0]"
327831,5.948095306408936e+17,process,"[root, param-workhorse, kworker/11:1H-events_highpri, , , 191, param-workhorse, 2, , linux]",1714642151000,"[0.0, 0.0015756447658918612, 0.043333333333333335, 0.0, 0.0, 0.0]"
327832,5.948095306408936e+17,process,"[linux, , 191, , root, param-workhorse, 2, param-workhorse, kworker/11:1H-events_highpri, ]",1714642156000,"[0.0, 0.0015746920763004125, 0.043333333333333335, 0.0, 0.0, 0.0]"
327833,5.948095306408936e+17,process,"[191, param-workhorse, , , root, , kworker/11:1H-events_highpri, param-workhorse, linux, 2]",1714642161000,"[0.0, 0.0015737401538154115, 0.043333333333333335, 0.0, 0.0, 0.0]"
327834,5.948095306408936e+17,process,"[kworker/11:1H-kblockd, , , , 2, param-workhorse, 191, root, param-workhorse, linux]",1714642166000,"[0.0, 0.0015727891819781858, 0.043333333333333335, 0.0, 0.0, 0.0]"
